"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +5.21128874569E+001, -1.21531883440E-001
+3.00100050025E+005, +5.01742316883E+001, +7.43412722180E-002
+5.50200100050E+005, +5.01618430998E+001, +6.67855476497E-002
+8.00300150075E+005, +5.01385113492E+001, +1.37246869867E-001
+1.05040020010E+006, +5.01446289486E+001, +1.75901817459E-001
+1.30050025013E+006, +5.01481853121E+001, +2.59353459412E-001
+1.55060030015E+006, +5.01553518100E+001, +3.01450347272E-001
+1.80070035018E+006, +5.01890086183E+001, +3.36485171635E-001
+2.05080040020E+006, +5.01870278627E+001, +3.81475076773E-001
+2.30090045023E+006, +5.02130838380E+001, +4.03034139403E-001
+2.55100050025E+006, +5.02275942864E+001, +4.82386999017E-001
+2.80110055028E+006, +5.01966650013E+001, +5.68948544385E-001
+3.05120060030E+006, +5.02367016923E+001, +5.63396548185E-001
+3.30130065033E+006, +5.02248299775E+001, +5.88394018485E-001
+3.55140070035E+006, +5.02519054719E+001, +6.50786264282E-001
+3.80150075038E+006, +5.02878799961E+001, +7.06928431204E-001
+4.05160080040E+006, +5.02363281249E+001, +7.31723322043E-001
+4.30170085043E+006, +5.02989777256E+001, +7.55593477163E-001
+4.55180090045E+006, +5.03232697558E+001, +8.35457925229E-001
+4.80190095048E+006, +5.03793363486E+001, +8.56045641577E-001
+5.05200100050E+006, +5.03400644558E+001, +9.25536241366E-001
+5.30210105053E+006, +5.03828834699E+001, +9.87646180436E-001
+5.55220110055E+006, +5.04292811200E+001, +9.87697778632E-001
+5.80230115058E+006, +5.04287114276E+001, +1.05376002715E+000
+6.05240120060E+006, +5.04775101149E+001, +1.10049504147E+000
+6.30250125063E+006, +5.04514731216E+001, +1.14007267588E+000
+6.55260130065E+006, +5.05002181907E+001, +1.16808789097E+000
+6.80270135068E+006, +5.04990889837E+001, +1.21889825317E+000
+7.05280140070E+006, +5.05764003478E+001, +1.28023410820E+000
+7.30290145073E+006, +5.06276085908E+001, +1.27103485236E+000
+7.55300150075E+006, +5.06239819429E+001, +1.33675838408E+000
+7.80310155078E+006, +5.06581673047E+001, +1.38980006056E+000
+8.05320160080E+006, +5.06905383484E+001, +1.42349592986E+000
+8.30330165083E+006, +5.07630831008E+001, +1.45703730928E+000
+8.55340170085E+006, +5.07640116439E+001, +1.49780371332E+000
+8.80350175088E+006, +5.08093076613E+001, +1.53995706074E+000
+9.05360180090E+006, +5.08359083410E+001, +1.57512075898E+000
+9.30370185093E+006, +5.08658363902E+001, +1.61801560351E+000
+9.55380190095E+006, +5.09091945635E+001, +1.65689844434E+000
+9.80390195098E+006, +5.09541294778E+001, +1.68087276758E+000
+1.00540020010E+007, +5.10001726633E+001, +1.72392892811E+000
+1.03041020510E+007, +5.10269686891E+001, +1.75636691373E+000
+1.05542021011E+007, +5.10879573269E+001, +1.78505233727E+000
+1.08043021511E+007, +5.11209454645E+001, +1.82758252476E+000
+1.10544022011E+007, +5.11760923762E+001, +1.85136586367E+000
+1.13045022511E+007, +5.12203183886E+001, +1.89285291374E+000
+1.15546023012E+007, +5.12707091825E+001, +1.92541405694E+000
+1.18047023512E+007, +5.13140684157E+001, +1.96179157483E+000
+1.20548024012E+007, +5.13696281929E+001, +1.99667805593E+000
+1.23049024512E+007, +5.14117737023E+001, +2.01839055146E+000
+1.25550025013E+007, +5.14668334079E+001, +2.05037477502E+000
+1.28051025513E+007, +5.15295034951E+001, +2.07516170801E+000
+1.30552026013E+007, +5.15808093784E+001, +2.10953686567E+000
+1.33053026513E+007, +5.16376523678E+001, +2.13706012047E+000
+1.35554027014E+007, +5.16807755661E+001, +2.16230623471E+000
+1.38055027514E+007, +5.17420398986E+001, +2.18751334175E+000
+1.40556028014E+007, +5.18255424147E+001, +2.21160978856E+000
+1.43057028514E+007, +5.18649091714E+001, +2.24082620270E+000
+1.45558029015E+007, +5.19188643346E+001, +2.26190254733E+000
+1.48059029515E+007, +5.19916398237E+001, +2.28467012614E+000
+1.50560030015E+007, +5.20618476964E+001, +2.30483856582E+000
+1.53061030515E+007, +5.21118994880E+001, +2.32875960331E+000
+1.55562031016E+007, +5.21875995937E+001, +2.34917790180E+000
+1.58063031516E+007, +5.22395348665E+001, +2.36330237107E+000
+1.60564032016E+007, +5.23149543845E+001, +2.38371866866E+000
+1.63065032516E+007, +5.23895891729E+001, +2.39530245692E+000
+1.65566033017E+007, +5.24583499369E+001, +2.44366605455E+000
+1.68067033517E+007, +5.25267039689E+001, +2.44141919120E+000
+1.70568034017E+007, +5.25814596751E+001, +2.44915578162E+000
+1.73069034517E+007, +5.26653094548E+001, +2.46097304834E+000
+1.75570035018E+007, +5.27251270715E+001, +2.47933878894E+000
+1.78071035518E+007, +5.28147755596E+001, +2.48996338737E+000
+1.80572036018E+007, +5.28912717733E+001, +2.49276423614E+000
+1.83073036518E+007, +5.29589279420E+001, +2.50090335254E+000
+1.85574037019E+007, +5.30403270030E+001, +2.51187909512E+000
+1.88075037519E+007, +5.31209464788E+001, +2.51438942457E+000
+1.90576038019E+007, +5.31990315596E+001, +2.51853947276E+000
+1.93077038519E+007, +5.32837020837E+001, +2.51841102802E+000
+1.95578039020E+007, +5.33572678669E+001, +2.51422010440E+000
+1.98079039520E+007, +5.34295026664E+001, +2.53234401284E+000
+2.00580040020E+007, +5.35179173785E+001, +2.51094130928E+000
+2.03081040520E+007, +5.35981809455E+001, +2.52324102636E+000
+2.05582041021E+007, +5.36849295539E+001, +2.51585599095E+000
+2.08083041521E+007, +5.37632172312E+001, +2.51269105223E+000
+2.10584042021E+007, +5.38628839618E+001, +2.50344206662E+000
+2.13085042521E+007, +5.39513859096E+001, +2.49138722655E+000
+2.15586043022E+007, +5.40370694711E+001, +2.49472545423E+000
+2.18087043522E+007, +5.41294151219E+001, +2.48476055925E+000
+2.20588044022E+007, +5.42118345115E+001, +2.46645716441E+000
+2.23089044522E+007, +5.43105543499E+001, +2.44944241913E+000
+2.25590045023E+007, +5.43964415188E+001, +2.43716022793E+000
+2.28091045523E+007, +5.44823122329E+001, +2.41800734624E+000
+2.30592046023E+007, +5.45859406082E+001, +2.40636358245E+000
+2.33093046523E+007, +5.46855148671E+001, +2.38390819975E+000
+2.35594047024E+007, +5.47832696468E+001, +2.36474695797E+000
+2.38095047524E+007, +5.48746675208E+001, +2.33276597656E+000
+2.40596048024E+007, +5.49660361129E+001, +2.31148450167E+000
+2.43097048524E+007, +5.50690965410E+001, +2.28914088536E+000
+2.45598049025E+007, +5.51672295622E+001, +2.25361376856E+000
+2.48099049525E+007, +5.52614298246E+001, +2.21541137566E+000
