"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+5.00000000000E+004, +5.19915095667E+001, -8.02155560511E-002
+3.00100050025E+005, +5.00244486376E+001, +3.33638580344E-002
+5.50200100050E+005, +5.00014910737E+001, +1.11557916739E-001
+8.00300150075E+005, +5.00179258771E+001, +9.55708116175E-002
+1.05040020010E+006, +5.00341287432E+001, +1.53904027004E-001
+1.30050025013E+006, +5.00368907748E+001, +2.83617959940E-001
+1.55060030015E+006, +5.00652475892E+001, +2.27340104641E-001
+1.80070035018E+006, +5.00714863207E+001, +2.79503548029E-001
+2.05080040020E+006, +5.00830963287E+001, +3.09773145791E-001
+2.30090045023E+006, +5.00612374037E+001, +3.76821945941E-001
+2.55100050025E+006, +5.00829804408E+001, +4.16100861132E-001
+2.80110055028E+006, +5.01200458960E+001, +4.35883118455E-001
+3.05120060030E+006, +5.01464808308E+001, +4.75701486461E-001
+3.30130065033E+006, +5.01356992659E+001, +5.19426342704E-001
+3.55140070035E+006, +5.01020196122E+001, +5.56750052771E-001
+3.80150075038E+006, +5.01356021759E+001, +6.58075038145E-001
+4.05160080040E+006, +5.01539655447E+001, +6.03150298435E-001
+4.30170085043E+006, +5.02316644574E+001, +6.71767028500E-001
+4.55180090045E+006, +5.01738228480E+001, +7.23673078928E-001
+4.80190095048E+006, +5.02228212284E+001, +7.75280558443E-001
+5.05200100050E+006, +5.02466404702E+001, +8.26624021365E-001
+5.30210105053E+006, +5.02226108666E+001, +8.52110458876E-001
+5.55220110055E+006, +5.02835507188E+001, +9.02192429643E-001
+5.80230115058E+006, +5.02447305601E+001, +9.25005169203E-001
+6.05240120060E+006, +5.03111485288E+001, +9.72556119007E-001
+6.30250125063E+006, +5.03547595319E+001, +9.85148050733E-001
+6.55260130065E+006, +5.03400991578E+001, +1.00832636332E+000
+6.80270135068E+006, +5.03512201811E+001, +1.10725871438E+000
+7.05280140070E+006, +5.04073749685E+001, +1.11880189339E+000
+7.30290145073E+006, +5.04067886225E+001, +1.14846956477E+000
+7.55300150075E+006, +5.04484495397E+001, +1.20473695486E+000
+7.80310155078E+006, +5.04687619051E+001, +1.22138094834E+000
